Drug,ADR_all,ADR_top5,Quality,Fold
оксолин,Дискомфорт в носу; Заложенность носа; Гиперсекреторное слезоотделение; Чувство жжения; Зуд в носу; Зуд; Ринит; Кожное раздражение; Эксфолиация кожи; Боль; Сомнолентность; Гиперчувствительность,Дискомфорт в носу; Заложенность носа; Гиперсекреторное слезоотделение; Чувство жжения; Зуд в носу,"хороший, но есть побочные реакции",3
цефекон д,Кашель; Пирексия; Астма; Смерть; Нарушение со стороны иммунной системы; Дерматит; Гиперчувствительность; Сыпь; Повышенная температура тела,Кашель; Пирексия; Астма; Смерть; Нарушение со стороны иммунной системы,плохой,2
зиртек,"Кашель; Сомнолентность; Пирексия; Астма; Смерть; Нарушение со стороны иммунной системы; Дерматит; Сыпь, макулезная; Гиперчувствительность; Отек лица; Заложенность носа; Отек; Одышка; Першение в горле; Недомогание; Вялость; Головокружение; Чувство опьянения",Кашель; Сомнолентность; Пирексия; Астма; Смерть,плохой,5
акдс,"Пирексия; Повышенная температура тела; Инфекция дыхательных путей; Рвота; Конверсионное расстройство; Расстройство поведения; Кашель; Астма; Смерть; Нарушение со стороны иммунной системы; Дерматит; Гиперчувствительность; Гематома в месте инъекции; Коклюш; Патология нервной системы; Неусидчивость; Прозопагнозия; Плаксивость; Уплотнение в месте инъекции; Пронзительный крик; Нарушение походки; Астения; Дискомфорт в конечностях; Низкое качество сна; Уплотнение в месте вакцинации; Отрыжка детского возраста; Боль в животе; Боль в месте инъекции; Сыпь, макулезная",Пирексия; Повышенная температура тела; Инфекция дыхательных путей; Рвота; Конверсионное расстройство,"плохой, частые побочные реакции",1
пентаксим,"Пирексия; Повышенная температура тела; Боль в месте инъекции; Кашель; Астма; Смерть; Нарушение со стороны иммунной системы; Дерматит; Боль; Уплотнение в месте инъекции; Периферический отек; Гиперчувствительность; Гематома в месте инъекции; Низкое качество сна; Расстройство поведения; Непереносимость препарата; Нарушение походки; Ощущение холода; Плач; Бессонница; Инфекция дыхательных путей; Сыпь, макулезная; Конверсионное расстройство; Рвота",Пирексия; Повышенная температура тела; Боль в месте инъекции; Кашель; Астма,"плохой, частые побочные реакции",4
донормил,Сомнолентность; Астения; Головная боль; Головокружение; Сухость во рту; Нарушение внимания; Плохое самочувствие; Расстройство сна; Усталость; Озноб; Низкое качество сна; Нарушение памяти; Похмелье; Тошнота; Галлюцинация; Паническое расстройство; Повышение артериального давления; Расстройство зрения; Увеличение веса; Пирексия; Диарея; Мышечная слабость; Гипергидроз; Рвота; Снижение аппетита; Отравление; Нарушение психики; Гипокинезия; Бледность; Темные круги под глазами; Настроение измененное; Дискомфорт; Паническая реакция; Бессвязная речь; Апатия; Стенокардия; Частота сердечных сокращений выше нормы; Устойчивое депрессивное расстройство; Расстройство речи; Плохо спала; Дискомфорт в голове; Гипестезия; Нарушение со стороны глаз; Холодный пот; Психологическое расстройство; Страх; Раздражительность; Абдоминальный дискомфорт; Нарушения подвижности языка; Нарушение работоспособности; Задержка мочи; Состояние спутанности сознания; Боль в животе; Сердцебиение; Голод; Вялость; Ощущение жара; Недомогание; Необычные сновидения; Отек; Запор; Тремор; Зависимость; Чувство опьянения,Сомнолентность; Астения; Головная боль; Головокружение; Сухость во рту,"плохой, частые побочные реакции",5
аминокапроновая кислота,Потеря сознания; Головокружение; Астения; Тиннитус; Расстройство зрения; Сомнолентность; Снижение артериального давления,Потеря сознания; Головокружение; Астения; Тиннитус; Расстройство зрения,"плохой, частые побочные реакции",2
кислота аминокапроновая,Потеря сознания; Головокружение; Астения; Тиннитус; Расстройство зрения; Сомнолентность; Снижение артериального давления,Потеря сознания; Головокружение; Астения; Тиннитус; Расстройство зрения,"плохой, частые побочные реакции",1
тенотен,Снижение уровня сознания; Головная боль; Вялость; Сердцебиение; Настроение измененное; Мигрень; Сомнолентность; Агрессия; Расстройство поведения; Перепады настроения; Апатия; Недомогание; Головокружение; Тошнота; Расстройство сна; Переносимость препарата; Нарушение засыпания; Нервозность; Раздражительность,Снижение уровня сознания; Головная боль; Вялость; Сердцебиение; Настроение измененное,"плохой, не помогает",1
валериана,"Сомнолентность; Гиперчувствительность; Головная боль; Головокружение; Астения; Ажитация; Апатия; Брадифрения; Вялость; Боль в верхних отделах живота; Снижение уровня сознания; Переносимость препарата; Раздражительность; Бессонница; Запор; Тошнота; Чувство угнетения; Снижение артериального давления; Тиннитус; Абдоминальный дискомфорт; Вздутие живота; Нарушение работоспособности; Неусидчивость; Плаксивость; Психомоторная гиперактивность; Нарушение памяти; Сыпь, макулезная; Пирексия; Необычные сновидения; Чувство тревоги; Депрессия; Агрессия; Дискомфорт в голове; Мигрень; Недомогание; Усталость; Ощущение релаксации; Расторможенность; Темные круги под глазами; Снижение аппетита; Расстройство сна; Диспепсия; с давлением появились проблемы; Нарушение со стороны глаз",Сомнолентность; Гиперчувствительность; Головная боль; Головокружение; Астения,"плохой, не помогает",2
валидол,Диспепсия; Паническая реакция; Головокружение; Сердцебиение; Тахикардия; Тошнота,Диспепсия; Паническая реакция; Головокружение; Сердцебиение; Тахикардия,"хороший, но есть побочные реакции",2
корвалол,Головная боль; Сомнолентность; Переносимость препарата; Бессонница; Ажитация; Низкое качество сна; Тошнота; Менингизм; Нарушение памяти; Боль в верхних отделах живота; Периорбитальная отечность; Задержка мочи; Состояние спутанности сознания; Боль в животе; Повышение артериального давления; Сердцебиение; Брадифрения; Снижение уровня сознания; Сенсорное расстройство,Головная боль; Сомнолентность; Переносимость препарата; Бессонница; Ажитация,"хороший, но есть побочные реакции",1
фенобарбитал,Переносимость препарата; Сомнолентность; Нежелательная лекарственная реакция; Психологическое расстройство; Нарушение психики; Нарушение координации; Астенопия,Переносимость препарата; Сомнолентность; Нежелательная лекарственная реакция; Психологическое расстройство; Нарушение психики,"плохой, частые побочные реакции",2
барбовал,Переносимость препарата; Сомнолентность; Абдоминальный дискомфорт; Вздутие живота; Нежелательная лекарственная реакция; Психологическое расстройство; Боль в верхних отделах живота; Периорбитальная отечность; Сердцебиение; Боль в животе; Нарушение координации; Астенопия,Переносимость препарата; Сомнолентность; Абдоминальный дискомфорт; Вздутие живота; Нежелательная лекарственная реакция,"плохой, частые побочные реакции",1
ноотропил,Головная боль; Раздражительность; Расстройство сна; Переносимость препарата; Расстройство поведения; Боль; Сердечная недостаточность; Бессонница; Усталость; Нежелательная лекарственная реакция; Апатия; Сомнолентность; Нарушение внимания,Головная боль; Раздражительность; Расстройство сна; Переносимость препарата; Расстройство поведения,"плохой, частые побочные реакции",2
льняное масло,,,хороший,4
волвит,,,хороший,1
протефлазид,Гиперчувствительность; Сыпь; Диарея; Боль; Боль в верхних отделах живота; Повышение уровня трансаминаз,Гиперчувствительность; Сыпь; Диарея; Боль; Боль в верхних отделах живота,"хороший, но есть побочные реакции",3
пантогам,Ажитация; Низкое качество сна; Расстройство поведения; Бессонница; Пронзительный крик; Неусидчивость; Плач; Конверсионное расстройство; Расстройство сна; Перевозбуждение; Дерматит аллергический,Ажитация; Низкое качество сна; Расстройство поведения; Бессонница; Пронзительный крик,плохой,4
вифор мальтофер,Запор; Флатуленция; Патология желудка; Нетипичные шумы желудочно-кишечного тракта; Дискомфорт в эпигастральной области; Раздражение стенки желудочно-кишечного тракта; Изменение цвета фекалий; Боль в животе,Запор; Флатуленция; Патология желудка; Нетипичные шумы желудочно-кишечного тракта; Дискомфорт в эпигастральной области,"плохой, частые побочные реакции",2
мальтофер,Запор; Изменение цвета фекалий; Боль в животе; Флатуленция; Патология желудка; Нетипичные шумы желудочно-кишечного тракта; Дискомфорт в эпигастральной области; Раздражение стенки желудочно-кишечного тракта; побочные эффекты с ЖКТ; Диспепсия; Рвота,Запор; Изменение цвета фекалий; Боль в животе; Флатуленция; Патология желудка,"плохой, частые побочные реакции",1
синуфорте,Чихание; Дискомфорт в носу; Гипоксия; Заложенность носа; Гиперсекреторное слезоотделение; Ринорея; Чувство жжения,Чихание; Дискомфорт в носу; Гипоксия; Заложенность носа; Гиперсекреторное слезоотделение,"плохой, частые побочные реакции",1
парацетамол,"Сомнолентность; Гиперчувствительность; Рвота; Боль в верхних отделах живота; Сыпь; Тошнота; Боль; Астения; Сыпь, макулезная; Зуд; Головокружение; Изменение цвета кожи; Дискомфорт в голове; Мышечная слабость; Нарушение со стороны печени; Гипергидроз; Расстройство зрения; Головная боль; Отравление; Дерматит аллергический",Сомнолентность; Гиперчувствительность; Рвота; Боль в верхних отделах живота; Сыпь,"хороший, но есть побочные реакции",1
парацетамол детский,Рвота; Гиперчувствительность; Сыпь,Рвота; Гиперчувствительность; Сыпь,плохой,4
панавир,Рвота; Ощущение жжения в вульвовагинальной области; Чувство жжения; Тошнота; Дисплазия,Рвота; Ощущение жжения в вульвовагинальной области; Чувство жжения; Тошнота; Дисплазия,плохой,2
панавир интим,,,хороший,1
панавир инлайт,Рвота; Ощущение жжения в вульвовагинальной области; Тошнота,Рвота; Ощущение жжения в вульвовагинальной области; Тошнота,плохой,4
панангин,Головокружение; Сердцебиение; Мышечная слабость; Отек; Диарея; Снижение артериального давления; Сердце чуть не отказало; Кошмары; Настроение измененное; Одышка; Раздражительность; Апатия; Сомнолентность; Бессонница; стало плохо с сердцем; Нарушение внимания,Головокружение; Сердцебиение; Мышечная слабость; Отек; Диарея,"плохой, частые побочные реакции",2
фуросемид,Снижение артериального давления; Снижение уровня калия в крови; Отек; Головокружение; Сердцебиение; Мышечная слабость; Астения; Потеря сознания; Токсичное воздействие различных веществ; Сердечно-сосудистая патология; Синюшность; Недомогание; Головная боль; Тошнота,Снижение артериального давления; Снижение уровня калия в крови; Отек; Головокружение; Сердцебиение,"плохой, частые побочные реакции",2
аспаркам,Отек; Снижение уровня калия в крови; Головокружение; Сердцебиение; Мышечная слабость; что в свою очередь может привести к проблемам с сердцем; Астения; Диарея; Снижение артериального давления,Отек; Снижение уровня калия в крови; Головокружение; Сердцебиение; Мышечная слабость,"плохой, частые побочные реакции",4
глицин,Сомнолентность; Головная боль; Конверсионное расстройство; Настроение измененное; Расстройство поведения; Ажитация; Тошнота; Снижение артериального давления; Астения; Повышение артериального давления; Мышечная гипотония; Медлительность; Навязчивые мысли; провалы памяти; Усталость; Нарушение памяти; Переносимость препарата; Головокружение; Боль в верхних отделах живота; Дискомфорт в голове; Неусидчивость; Плаксивость; Психомоторная гиперактивность; Расстройство сна; Расстройство зрения; Гипестезия; Холодные периферические отделы конечностей; Мышечные спазмы; Глоссодиния; Гиперчувствительность; Зуд; пропал дневной сон; Сыпь; Сердцебиение; Гипестезия полости рта,Сомнолентность; Головная боль; Конверсионное расстройство; Настроение измененное; Расстройство поведения,"плохой, не помогает",1
тонзилгон н,"Гиперчувствительность; Рвота; Сыпь; Раздражение горла; Тошнота; Сыпь, макулезная; Себорейный дерматит; Приливы крови; Дерматит аллергический; Диарея",Гиперчувствительность; Рвота; Сыпь; Раздражение горла; Тошнота,"хороший, но есть побочные реакции",4
антигриппин,"Сомнолентность; Гиперчувствительность; Боль; Сыпь, зудящая; Гипакузия; Заложенность уха; Диспепсия; Боль в верхних отделах живота; Эритема; Зуд; Сыпь; Гипестезия глотки; Гиперсекреторное слезоотделение; Астения; Гипестезия полости рта; Изменение цвета кожи; Рвота","Сомнолентность; Гиперчувствительность; Боль; Сыпь, зудящая; Гипакузия","хороший, но есть побочные реакции",4
кортексин для детей,Пронзительный крик; Бессонница; Конверсионное расстройство; Гиперчувствительность; Мышечные спазмы; Перевозбуждение; Мечтательность; Расстройство сна; Галлюцинация; Подергивание мышц; Эритема; Отек в месте инъекции; Двигательное нарушение; Бледность; Головная боль; Темные круги под глазами; Ажитация; Нежелательная лекарственная реакция; Настроение измененное; Гиперсекреторное слезоотделение; Рвота; Снижение аппетита; Сомнолентность; Плач; Дерматит атопический; Синкопе,Пронзительный крик; Бессонница; Конверсионное расстройство; Гиперчувствительность; Мышечные спазмы,плохой,5
кортексин,Ажитация; Пронзительный крик; Бессонница; Головная боль; Рвота; Конверсионное расстройство; Мышечные спазмы; Перевозбуждение; Мечтательность; Расстройство сна; Галлюцинация; Подергивание мышц; Сыпь; Отек лица; Диарея; Эритема; Отек в месте инъекции; Двигательное нарушение; Бледность; Темные круги под глазами; Нежелательная лекарственная реакция; Настроение измененное; Гиперсекреторное слезоотделение; Снижение аппетита; Сомнолентность; Плач; Дерматит атопический; Гиперчувствительность; Низкое качество сна; Одышка; Бронхит; Множественные аллергии,Ажитация; Пронзительный крик; Бессонница; Головная боль; Рвота,"плохой, не помогает",4
