indication,drugs,drugs_top5,drugs_best,fold
Повышенная температура тела,"парацетамол; виферон; анаферон; антигриппин; кагоцел; анаферон детский; ингавирин; нурофен; римантадин; эргоферон; колдрекс; афлубин; парацетамол детский; аскорбиновая кислота; эффералган; терафлю; антигриппин максимум; амиксин; ибуфен д; анвимакс; амизон; арбидол; лемсип лимон; ибуфен; кипферон; димедрол; лаферобион; иммунофлазид; колдрекс хотрем; генферон лайт; гриппферон; ринза; фервекс; азитромицин; акдс; гропринозин; лимон; аспирин; хелпекс антиколд; риниколд; амоксициллин; пентаксим; тонзилгон н; интерферон; ринзасип; колдрекс максгрипп; гриппостад; ликопид; локоид; бепантен; супрастин; флюколд; генферон; цефекон д; фервекс для детей; анальгин; орвирем; циклоферон; антигриппин анви; витамин с; ангримакс; лемсип макс; ацетилсалициловая кислота; арбидол максимум; тамифлю; максиколд рино; колдакт флю плюс; ибуфен д для детей; ирс 19; назоферон; фарингосепт; кальция глюконат; мирамистин; иммунал; изопринозин; парацетомол; зинат; амоксиклав; инфлювак; инфлюцид; аква марис; аквалор; панадол; ацикловир; полиоксидоний; нурофен для детей; стопгрипан; гриппофлю; гриппофлю экстра; варилрикс; аспартам; ибуклин; антифлу детский; антигриппин детский; цитовир-3; пенициллин; пневмо 23; гриппол плюс; рапидол; фармацитрон форте; тофф плюс; деринат; отривин; вибуркол; оциллококцинум; пиносол; флемоксин; стопгрипан форте; гриппоцитрон хот ""лимон""; цераксон; лавомакс; тилорон; имустат; ибупрофен; гипорамин; смекта; интерферон альфа; флемоклав солютаб; лемсип черная смородина; эреспал; йод; септолете; цитрамон; зиртек; натрия хлорид раствор; ромашка; лактофильтрум; оксолин; хлогексидин; инфанрикс; синупрет; граммидин с анестетиком нео; heplex breath; оралсепт; ингалипт; стрептоцид; стрепсилс; фенилэфрин; хлорфенамин; максиколд; антифлу; эдем; альтевир; ацц; полисорб мп; эхинацея; нолгрипп; шиповника сироп; panadol baby; панадол детский; фромилид уно; угля; имунорикс; назаваль; имудоном; настойка березовых почек; хиберикс; бактериофаг; таурин; интерферон альфа-2b; бальзам золотая звезда; master herb; клацид; дантинорм бэби; ацекардин; глево; феназепам; имовакс полио; полиорикс; энгистол; пентафлуцин; мелаксен; ксимелин; аугментин; лидокаин; метипред; преднизолон; омез; фенистил; зитролид; зитролид форте; энтеросгель; активированный уголь; новирин; леволет; рексетин; ваксигрип",парацетамол; виферон; анаферон; антигриппин; кагоцел,"лимон; гриппостад; фервекс для детей; колдакт флю плюс; кальция глюконат; парацетомол; гриппофлю; гриппофлю экстра; аспартам; рапидол; вибуркол; пиносол; стопгрипан форте; гриппоцитрон хот ""лимон""; интерферон альфа; лемсип черная смородина; фенилэфрин; хлорфенамин; максиколд; нолгрипп; шиповника сироп; panadol baby; панадол детский; хиберикс; интерферон альфа-2b",1
Угроза выкидыша,аминокапроновая кислота; кислота аминокапроновая; дюфастон; хафитол; эссенциале форте,аминокапроновая кислота; кислота аминокапроновая; дюфастон; хафитол; эссенциале форте,нет хороших лекарств,3
Кровоизлияние,метрогил; аминокапроновая кислота; кислота аминокапроновая; витамин б12; феррум; нимесил; найз; сорбифер; суперчистотел; диас супер чистотел; гемороль; вифор мальтофер; мальтофер,метрогил; аминокапроновая кислота; кислота аминокапроновая; витамин б12; феррум,нет хороших лекарств,1
Маточное кровотечение,аминокапроновая кислота; кислота аминокапроновая,аминокапроновая кислота; кислота аминокапроновая,нет хороших лекарств,4
Стресс,"валериана; афобазол; глицин; пустырник; персен; барбовал; тенотен; корвалол; пиона уклоняющегося настойка; атаракс; вечернее биокор драже; фенибут; фенобарбитал; глицин форте; тенотен детский; пустырника настойка; ново-пассит; корвалдин; валосердин; релиум; грандаксин; адаптол; миноксидит; minoxidil; валидол; седавит; глицисед; микстура кватера; пустырника экстракт; ацикловир; амитриптилина гидрхлорид; стрезам; диазепам; клоназепам; нурофен; валериана форте; седасен; седасен форте; фитогипноз; боярышник; бондормин; сондокс; феназепам; гидазепам; протефлазид; доктор тайсс ""эвкалипт; алора; лозап; фитосед; цитовир-3; фенотропил; семакс; донормил; фенебутом; кандид б; биотредин; персен форте; виферон; ноотропил; пирацетам; амитриптилин; беталок зок; кордалоном",валериана; афобазол; глицин; пустырник; персен,"релиум; микстура кватера; пустырника экстракт; седасен; фитогипноз; бондормин; доктор тайсс ""эвкалипт",5
Бессонница,валериана; глицин; мелаксен; сонмил; донормил; феназепам; пустырник; тенотен; афобазол; сомнол; барбовал; корвалол; пустырника настойка; пиона уклоняющегося настойка; санвал; димедрол; амитриптилин; гидазепам; мелатонин; алора; боярышник; тенотен детский; сондокс; фенибут; меласон; вечернее биокор драже; фенобарбитал; киндинорм; корвалдин; ключи здоровья; дормикинд; соннат; вита-мелатонин; ацекардол; валосердин; валокордин; саб симплекс; бифиформ; фенхель; сибазон; персен; диоксид титана; элеутерококка экстракт; беллатаминал; чистонос спрей; флуоксетин; флу; аквалор беби; глицин форте; валериана форте; седасен форте; микстура кватера; реладорм; валемидин; релиум; диазепам; валарианахель; пассамбра эдас-306; стрезам; меновален; азалептин; нейрокс; магне b6; валидол; глицисед; имован; ново-пассит; атаракс; аторакс; сиофор; мильгамма; танакан; пантокальцин; анвифен; хлорпротиксен; пантогам; меновазин; спирт; зопиклон; активированный уголь; йод; амитриптилина гидрхлорид; адаптол; циннаризин; цитрамон; корвалтаб экстра,валериана; глицин; мелаксен; сонмил; донормил,меласон; киндинорм; ключи здоровья; ацекардол; чистонос спрей; микстура кватера; валемидин; релиум; меновален; танакан,1
Нервозность,валериана; пустырник; глицин; тенотен; феназепам; персен; афобазол; ново-пассит; тенотен детский; пустырника настойка; вечернее биокор драже; гидазепам; беллатаминал; барбовал; корвалол; стрезам; мелаксен; эглонил; глицисед; валокордин; пиона уклоняющегося настойка; пустырника экстракт; седасен форте; глицин форте; тривалумен; палора; донормил; миасер; винпоцетин; пирацетам; трава пустырника; элеутерококка экстракт; фитогипноз; микстура кватера; седасен; боярышник; пантогам; флуоксетин; алора; адаптол; магне b6; валидол; вита-мелатонин; меласон; галидор; сиофор; амитриптилин; фенобарбитал; корвалдин; добранич; фенибут,валериана; пустырник; глицин; тенотен; феназепам,пустырника экстракт; тривалумен; миасер; трава пустырника; фитогипноз; микстура кватера; седасен; меласон,5
Страх,феназепам; афобазол; гидазепам; корвалол; валериана; валидол; фенобарбитал; барбовал; клоназепам; атаракс; аторакс; аминалон; амитриптилина гидрхлорид; амитриптилин,феназепам; афобазол; гидазепам; корвалол; валериана,нет хороших лекарств,3
Паническое расстройство,валидол; корвалол; фенобарбитал; барбовал; спитомин,валидол; корвалол; фенобарбитал; барбовал; спитомин,нет хороших лекарств,3
Онихоклазия,perfectil; льняное масло; волвит; цинктерал; пренатал,perfectil; льняное масло; волвит; цинктерал; пренатал,льняное масло; волвит,3
