,disease,drug
0,Стресс,"ацикловир, глицин, валериана"
1,Низкое качество сна|Бессонница,аквалор беби
2,Нервозность,"глицин, валериана, интерферон"
3,Эритема глотки,"эргоферон, тонзилгон н"
4,Боль в ротоглотке (орофарингеальная),"кагоцел, ацикловир, эргоферон"
5,Боль в ротоглотке (орофарингеальная)|Орофарингеальный дискомфорт,"афлубин, тонзилгон н"
6,Депрессия,Нет хороших лекарств
7,Нарушение засыпания,глицин
8,Ажитация,валериана
9,Повышенная температура тела,"афлубин, кагоцел, ацикловир"
10,Ринорея,"афлубин, кагоцел, эргоферон"
11,Кашель,"афлубин, кагоцел, эргоферон"
12,Интрасомническое расстройство|Низкое качество сна,Нет хороших лекарств
13,Назофарингит,"афлубин, кагоцел, антигриппин"
14,Чихание,"кагоцел, эргоферон, иммунал"
15,Головная боль,"кагоцел, эргоферон, глицин"
16,Патология нервной системы,Нет хороших лекарств
17,Головокружение,"корвалол, пирацетам, ноотропил"
18,Профилактика,"афлубин, кагоцел, ацикловир"
19,Боль,"афлубин, граммидин с анестетиком нео, полижинакс"
20,Заложенность носа,"антигриппин, ринофлуимуцил, анвимакс"
21,Першение в горле,"анвимакс, парацетамол, терафлю"
22,Нервозность|Раздражительность,валериана
23,Астения,"анвимакс, флюколд, кипферон"
24,Нарушение со стороны иммунной системы|Ослабленная иммунная реактивность,"ацикловир, иммунал, антигриппин максимум"
25,Нарушение со стороны иммунной системы,"интерферон, интерферон альфа"
26,Отек,эвкабал
27,Недомогание,сульфадиметоксин
28,Гиперемия глаз,Нет хороших лекарств
29,Заложенность носа|Астма|Одышка,Нет хороших лекарств
30,Пирексия,"афлубин, кагоцел, эргоферон"
31,Озноб,"кагоцел, антигриппин, лимон"
32,Психологическое расстройство,фенибут
33,Напряженное состояние,"фенибут, корвалол"
34,Психомоторная гиперактивность,фенибут
35,Расстройство сна,"глицин, фенибут, сомнол"
36,Гипоксия,кальция гопантенат
37,Пузырь на губе,ацикловир форте
38,Зуд в губе,ацикловир форте
39,Пузырь,"ацикловир, ацикловир форте"
40,"Дерматит, вызванный вирусом герпеса|Сыпь",ацикловир форте
41,Повышение артериального давления,Нет хороших лекарств
42,Раздражительность,"глицин, валериана, вечернее биокор драже"
43,Отечность,"максиколд рино, димедрол"
44,Гепатит при инфекционном мононуклеозе,ацикловир
45,Ощущение жара,колдрекс
46,Профилактика вирусных инфекций|Профилактика,Нет хороших лекарств
47,Бессонница,"глицин, глицисед, сомнол"
48,Паническая реакция,корвалол
49,Сыпь,"ацикловир, димедрол"
50,Патология желудка|Абдоминальный дискомфорт,димедрол
51,Плач,Нет хороших лекарств
52,Поллакиурия,нитроксолин
53,Дизурия,нитроксолин
54,Нервозность|Низкое качество сна,Нет хороших лекарств
55,Низкое качество сна,"эргоферон, глицин, вечернее биокор драже"
56,Тремор|Ощущение тревоги,валериана
57,Миалгия,"кагоцел, терафлю, лимон"
58,Дисфункция навыков мелкой моторики|Задержка развития мелкой моторики,Нет хороших лекарств
59,Нарушение координации,Нет хороших лекарств
60,Патология десен,Нет хороших лекарств
61,Неинфекционный гингивит,Нет хороших лекарств
62,Ринит|Ринорея,флюколд
63,Ангулярный хейлит,панавир
64,Пирексия|Повышенная температура тела,кипферон
65,Раздражение горла|Боль в ротоглотке (орофарингеальная),эвкабал
66,Продуктивный кашель,"эвкабал, эвкабал бальзам с"
67,Профилактика респираторных заболеваний|Профилактика,"иммунал, эхинацеи настойка"
68,Терминальная бессонница,Нет хороших лекарств
69,Усталость,фенилэфрин
70,Заложенность носа|Дискомфорт в носу,cold balm
71,Одышка,cold balm
72,,вечернее биокор драже
73,Боль в костях,Нет хороших лекарств
74,Инфекция дыхательных путей,иммунофлазид
75,Гнев,глицин
76,Менструальное нарушение,глицин
77,Бессонница|Нарушение засыпания,сомнол
78,Оральный герпес,Нет хороших лекарств
79,Нарушение памяти,пирацетам
80,Папилломавирусная инфекция,Нет хороших лекарств
81,Чувство тревоги,корвалол
82,Сердцебиение,корвалол
83,Частота сердечных сокращений выше нормы|Отклонение от нормы пульса,Нет хороших лекарств
84,Гипотермия,ацикловир
85,Болезненные ощущения|Пузырь,ацикловир
86,Зуд,"кагоцел, ацикловир, тривалумен"
87,Дискомфорт в ротовой полости,ацикловир
88,Инфекционный энтерит,Нет хороших лекарств
89,Рвота,Нет хороших лекарств
90,Метастаз,Нет хороших лекарств
91,Хейлит,ацикловир
92,Хрипы,эргоферон
93,Настроение измененное|Сниженное настроение,глицин
94,Нервозность|Бессонница,Нет хороших лекарств
95,Сомнолентность,"вечернее биокор драже, фенилэфрин"
96,Заложенность носа|Ринорея,"кагоцел, ринофлуимуцил"
97,Неусидчивость,энцефабол
98,Нарушение внимания,энцефабол
99,Отравление,энцефабол
100,Оральный герпес|Офтальмогерпес,ацикловир сандоз
101,Артралгия,анвимакс
102,Вирусная инфекция дыхательных путей,амизон макс
103,Гиперсекреторное слезоотделение,"флюколд, максиколд рино"
104,Расстройство речи,энцефабол
105,Угри,ацикловир
106,Невроз,корвалол
107,Нарушение мозгового кровообращения,пирацетам
108,Сосудистое нарушение сетчатки,Нет хороших лекарств
109,Дистрофия сетчатки,Нет хороших лекарств
110,Травма конечности,Нет хороших лекарств
111,Отклонения от нормы артериального давления,Нет хороших лекарств
112,Колебания артериального давления,галидор
113,Пузырь на губе|Боль в области губы,Нет хороших лекарств
114,Внутримозговое кровоизлияние,Нет хороших лекарств
115,Кашель|Боль в ротоглотке (орофарингеальная),эргоферон
116,Укачивание при движении,Нет хороших лекарств
117,Неправильное положение матки,полижинакс
118,Выделения,полижинакс
119,Пемфигоид,ацикловир
120,"Сыпь, везикулезная",ацикловир
121,Чувство жжения,ацикловир
122,Дискомфорт в конечностях|Мышечная слабость,Нет хороших лекарств
123,Глазные выделения,Нет хороших лекарств
124,Тиннитус,"пирацетам, глиатилин"
125,Вялость,Нет хороших лекарств
126,Отек носовых пазух,ринофлуимуцил
127,Тик|Патология нервной системы,фенибут
128,Рубец,ацикловир
129,Оральный герпес|Угри,Нет хороших лекарств
130,Эритема,ацикловир
131,Одинофагия,линкас орви
132,Паническая реакция|Чувство тревоги,корвалол
133,Заложенность носа|Воспаление в носу,африн
134,Чувство жжения|Дискомфорт в ротовой полости,ацикловир
135,Нарушение мозгового кровообращения|Колебания артериального давления,галидор
136,Чувствительность к изменению погоды|Метеопатия,галидор
137,Желудочно-кишечная боль,галидор
138,Умственная усталость,Нет хороших лекарств
139,Задержка моторного развития,Нет хороших лекарств
140,Гипокинезия,Нет хороших лекарств
141,Астения|Усталость,персен
142,Стенокардия,корвалол
143,Эмоциональное расстройство,корвалол
144,Расстройство зрения,пирацетам
145,Оральный герпес|Пузырь,ацикловир
146,Аногенитальные бородавки,Нет хороших лекарств
147,Конверсионное расстройство,глицин
148,Чувство тревоги|Чувство угнетения|Сниженное настроение,Нет хороших лекарств
149,Нарушение засыпания|Бессонница,Нет хороших лекарств
150,Сниженное настроение,Нет хороших лекарств
151,Интрасомническое расстройство|Низкое качество сна|Расстройство сна|Бессонница,феназепам
152,Нервозность|Напряженное состояние,тривалумен
153,Вагинальные выделения|Выделения,тривалумен
154,Воспаление,"полижинакс, кипферон"
155,Боль внизу живота,полижинакс
156,Боль внизу живота|Вульвовагинальное воспаление,полижинакс
157,Боль в животе,полижинакс
158,Артралгия|Миалгия,антигриппин
159,Боль в пазухах носа|Боль в ротоглотке (орофарингеальная)|Нарушение со стороны глотки,антигриппин
160,Отечность глаз|Гиперемия глаз,Нет хороших лекарств
161,Гиперсекреторное слезоотделение|Ринорея,Нет хороших лекарств
162,Расстройство поведения,глицин
163,Агрессия,глицисед
164,Ринит,ринофлуимуцил
165,Тремор|Озноб,Нет хороших лекарств
