,disease,drug
0,Стресс,"ацикловир, глицин, валериана"
1,Бессонница,"глицин, глицисед, феназепам"
2,Нервозность,"глицин, валериана, интерферон"
3,Эритема глотки,"эргоферон, тонзилгон н"
4,Боль в ротоглотке (орофарингеальная),"афлубин, кагоцел, ацикловир"
5,Депрессия,Нет хороших лекарств
6,Нарушение засыпания,глицин
7,Ажитация,валериана
8,Повышенная температура тела,"афлубин, кагоцел, ацикловир"
9,Ринорея,"афлубин, кагоцел, эргоферон"
10,Кашель,"афлубин, кагоцел, эргоферон"
11,Низкое качество сна,"эргоферон, глицин, вечернее биокор драже"
12,Назофарингит,"афлубин, кагоцел, антигриппин"
13,Чихание,"кагоцел, эргоферон, иммунал"
14,Головная боль,"кагоцел, эргоферон, глицин"
15,Патология нервной системы,Нет хороших лекарств
16,Головокружение,"корвалол, пирацетам, ноотропил"
17,Профилактика,"афлубин, кагоцел, ацикловир"
18,Боль,"афлубин, граммидин с анестетиком нео, полижинакс"
19,Заложенность носа,"антигриппин, ринофлуимуцил, анвимакс"
20,Першение в горле,"анвимакс, парацетамол, терафлю"
21,Астения,"анвимакс, флюколд, кипферон"
22,Нарушение со стороны иммунной системы,"ацикловир, иммунал, интерферон"
23,Отек,эвкабал
24,Недомогание,сульфадиметоксин
25,Гиперемия глаз,Нет хороших лекарств
26,Пирексия,"афлубин, кагоцел, эргоферон"
27,Озноб,"кагоцел, антигриппин, лимон"
28,Психологическое расстройство,фенибут
29,Напряженное состояние,"фенибут, корвалол"
30,Психомоторная гиперактивность,фенибут
31,Расстройство сна,"глицин, фенибут, сомнол"
32,Гипоксия,кальция гопантенат
33,Пузырь на губе,ацикловир форте
34,Зуд в губе,ацикловир форте
35,Пузырь,"ацикловир, ацикловир форте"
36,Сыпь,"ацикловир, димедрол, ацикловир форте"
37,Повышение артериального давления,Нет хороших лекарств
38,Раздражительность,"глицин, валериана, вечернее биокор драже"
39,Отечность,"максиколд рино, димедрол"
40,Гепатит при инфекционном мононуклеозе,ацикловир
41,Ощущение жара,колдрекс
42,Паническая реакция,корвалол
43,Абдоминальный дискомфорт,димедрол
44,Плач,Нет хороших лекарств
45,Поллакиурия,нитроксолин
46,Дизурия,нитроксолин
47,Тремор,валериана
48,Миалгия,"кагоцел, терафлю, лимон"
49,Дисфункция навыков мелкой моторики,Нет хороших лекарств
50,Нарушение координации,Нет хороших лекарств
51,Патология десен,Нет хороших лекарств
52,Неинфекционный гингивит,Нет хороших лекарств
53,Ангулярный хейлит,панавир
54,Продуктивный кашель,"эвкабал, эвкабал бальзам с"
55,Терминальная бессонница,Нет хороших лекарств
56,Усталость,фенилэфрин
57,Одышка,cold balm
58,,вечернее биокор драже
59,Боль в костях,Нет хороших лекарств
60,Инфекция дыхательных путей,иммунофлазид
61,Гнев,глицин
62,Менструальное нарушение,глицин
63,Оральный герпес,"ацикловир, ацикловир сандоз"
64,Нарушение памяти,пирацетам
65,Папилломавирусная инфекция,Нет хороших лекарств
66,Чувство тревоги,корвалол
67,Сердцебиение,корвалол
68,Частота сердечных сокращений выше нормы,Нет хороших лекарств
69,Гипотермия,ацикловир
70,Зуд,"кагоцел, ацикловир, тривалумен"
71,Дискомфорт в ротовой полости,ацикловир
72,Инфекционный энтерит,Нет хороших лекарств
73,Рвота,Нет хороших лекарств
74,Метастаз,Нет хороших лекарств
75,Хейлит,ацикловир
76,Хрипы,эргоферон
77,Настроение измененное,глицин
78,Сомнолентность,"вечернее биокор драже, фенилэфрин"
79,Неусидчивость,энцефабол
80,Нарушение внимания,энцефабол
81,Отравление,энцефабол
82,Артралгия,"антигриппин, анвимакс"
83,Вирусная инфекция дыхательных путей,амизон макс
84,Гиперсекреторное слезоотделение,"флюколд, максиколд рино"
85,Расстройство речи,энцефабол
86,Угри,ацикловир
87,Невроз,корвалол
88,Нарушение мозгового кровообращения,пирацетам
89,Сосудистое нарушение сетчатки,Нет хороших лекарств
90,Дистрофия сетчатки,Нет хороших лекарств
91,Травма конечности,Нет хороших лекарств
92,Отклонения от нормы артериального давления,Нет хороших лекарств
93,Колебания артериального давления,галидор
94,Внутримозговое кровоизлияние,Нет хороших лекарств
95,Укачивание при движении,Нет хороших лекарств
96,Неправильное положение матки,полижинакс
97,Выделения,полижинакс
98,Пемфигоид,ацикловир
99,"Сыпь, везикулезная",ацикловир
100,Чувство жжения,ацикловир
101,Мышечная слабость,Нет хороших лекарств
102,Глазные выделения,Нет хороших лекарств
103,Тиннитус,"пирацетам, глиатилин"
104,Вялость,Нет хороших лекарств
105,Отек носовых пазух,ринофлуимуцил
106,Тик,фенибут
107,Рубец,ацикловир
108,Эритема,ацикловир
109,Одинофагия,линкас орви
110,Метеопатия,галидор
111,Желудочно-кишечная боль,галидор
112,Умственная усталость,Нет хороших лекарств
113,Задержка моторного развития,Нет хороших лекарств
114,Гипокинезия,Нет хороших лекарств
115,Стенокардия,корвалол
116,Эмоциональное расстройство,корвалол
117,Расстройство зрения,пирацетам
118,Аногенитальные бородавки,Нет хороших лекарств
119,Конверсионное расстройство,глицин
120,Сниженное настроение,Нет хороших лекарств
121,Вагинальные выделения,тривалумен
122,Воспаление,"полижинакс, кипферон"
123,Боль внизу живота,полижинакс
124,Боль в животе,полижинакс
125,Отечность глаз,Нет хороших лекарств
126,Расстройство поведения,глицин
127,Агрессия,глицисед
128,Ринит,ринофлуимуцил
