standart_names,ADR,Raiting
cold balm,"{'Нет ADR': 11, 'Стресс': 1}",Плохой: частные побочные реакции
evergetikon,"{'Бессонница': 1, 'Нервозность': 1, 'Нет ADR': 10}","Хороший, но есть ADR"
heplex breath,{'Нет ADR': 4},Плохой
агри,"{'Нет ADR': 13, 'Эритема глотки': 1, 'Боль в ротоглотке (орофарингеальная)': 3}",Плохой: не помогает
азалептин,"{'Нет ADR': 21, 'Депрессия': 1}","Хороший, но есть ADR"
аква марис,"{'Нет ADR': 110, 'Нарушение речи': 1, 'Нарушение засыпания': 1, 'Стресс': 2, 'Ажитация': 1, 'Повышенная температура тела': 1, 'Ринорея': 1, 'Кашель': 1}",Плохой: частные побочные реакции
аквалор,"{'Нет ADR': 36, 'Нарушение засыпания': 1, 'Низкое качество сна': 1}","Хороший, но есть ADR"
аквалор беби,"{'Нет ADR': 27, 'Назофарингит': 1, 'Чихание': 3, 'Ринорея': 1, 'Головная боль': 1}","Хороший, но есть ADR"
аквалор беби мягкий душ,"{'Нет ADR': 5, 'Повышенная температура тела': 1, 'Ринорея': 1}","Хороший, но есть ADR"
аквалор норм струя,{'Нет ADR': 7},Хороший
аквирин рино,"{'Нет ADR': 11, 'Повышенная температура тела': 1}",Плохой: не помогает
акдс,"{'Нет ADR': 25, 'Патология нервной системы': 1, 'Стресс': 1}",Плохой: частные побочные реакции
аллокин-альфа,{'Нет ADR': 1},Плохой
алора,"{'Нет ADR': 9, 'Нервозность': 1}",Плохой: не помогает
альтевир,{'Нет ADR': 25},Хороший
амизон,"{'Нет ADR': 249, 'Стресс': 1, 'Головокружение': 1, 'Профилактика': 5, 'Повышенная температура тела': 2, 'Боль': 1, 'Головная боль': 1, 'Ринорея': 1, 'Заложенность носа': 1, 'Першение в горле': 1}",Плохой: не помогает
амизон макс,"{'Нет ADR': 36, 'Профилактика': 2}",Плохой: частные побочные реакции
амиксин,"{'Нет ADR': 149, 'Нервозность': 2, 'Головная боль': 1, 'Повышенная температура тела': 1, 'Ринорея': 2, 'Астения': 1, 'Нарушение со стороны иммунной системы': 2, 'Профилактика': 4}",Плохой: не помогает
анаферон,"{'Нет ADR': 277, 'Ринорея': 10, 'Повышенная температура тела': 3, 'Отек': 1, 'Нервозность': 1, 'Стресс': 1, 'Психомоторная гиперактивность': 1, 'Недомогание': 1, 'Профилактика': 2, 'Боль в ротоглотке (орофарингеальная)': 5, 'Гиперемия глаз': 1, 'Кашель': 1}",Плохой: не помогает
анаферон детский,"{'Нет ADR': 240, 'Одышка': 1, 'Заложенность носа': 3, 'Профилактика': 4, 'Чихание': 1, 'Кашель': 3, 'Пирексия': 1, 'Повышенная температура тела': 4, 'Нарушение со стороны иммунной системы': 1, 'Ринорея': 1, 'Боль в ротоглотке (орофарингеальная)': 1}",Плохой: не помогает
анвимакс,"{'Нет ADR': 80, 'Пирексия': 1, 'Боль': 2, 'Озноб': 1, 'Нарушение со стороны иммунной системы': 1, 'Профилактика': 1, 'Головная боль': 1, 'Психологическое расстройство': 2, 'Напряженное состояние': 1, 'Психомоторная гиперактивность': 1, 'Расстройство сна': 1}",Плохой: частные побочные реакции
ангрикапс,"{'Нет ADR': 13, 'Чихание': 1, 'Кашель': 1, 'Боль в ротоглотке (орофарингеальная)': 1, 'Заложенность носа': 1}",Плохой: не помогает
антигриппин,"{'Нет ADR': 92, 'Профилактика': 3, 'Ринорея': 1, 'Гипоксия': 1, 'Нарушение со стороны иммунной системы': 1, 'Пузырь на губе': 1, 'Зуд в губе': 1, 'Пузырь': 1, 'Сыпь': 1}","Хороший, но есть ADR"
антигриппин максимум,"{'Нет ADR': 34, 'Профилактика': 3, 'Ринорея': 1}","Хороший, но есть ADR"
арбидол,"{'Нет ADR': 75, 'Повышение артериального давления': 1, 'Раздражительность': 2, 'Профилактика': 2, 'Заложенность носа': 1, 'Отечность': 1, 'Патология нервной системы': 1}","Хороший, но есть ADR"
арбидол максимум,"{'Нет ADR': 10, 'Профилактика': 1}",Плохой
аскорбиновая кислота,{'Нет ADR': 9},Плохой: не помогает
аспирин,{'Нет ADR': 3},Плохой: частные побочные реакции
атомером,{'Нет ADR': 2},Плохой
афлубин,"{'Нет ADR': 373, 'Гепатит при инфекционном мононуклеозе': 1, 'Чихание': 1, 'Ринорея': 4, 'Головная боль': 1, 'Ощущение жара': 1, 'Повышенная температура тела': 3, 'Заложенность носа': 2, 'Стресс': 5, 'Нервозность': 1, 'Психологическое расстройство': 1, 'Кашель': 1, 'Профилактика': 1, 'Бессонница': 1, 'Расстройство сна': 1}",Плохой: частные побочные реакции
афобазол,"{'Нет ADR': 300, 'Паническая реакция': 3, 'Сыпь': 3, 'Абдоминальный дискомфорт': 1, 'Отечность': 1, 'Профилактика': 4, 'Боль': 1, 'Повышенная температура тела': 3, 'Психологическое расстройство': 1, 'Плач': 1, 'Поллакиурия': 1, 'Дизурия': 1, 'Ринорея': 2, 'Эритема глотки': 1}",Плохой: частные побочные реакции
африн,{'Нет ADR': 20},Плохой: частные побочные реакции
ацетилсалициловая кислота,{'Нет ADR': 6},Плохой
