standart_names,ADR,Raiting
cold balm,{'Нет ADR': 26},Хороший
evergetikon,{'Нет ADR': 8},Хороший
heplex breath,{'Нет ADR': 4},Плохой
агри,{'Нет ADR': 16},Плохой: не помогает
азалептин,"{'Нет ADR': 34, 'Гиперчувствительность': 3, 'Сыпь, зудящая': 1}",Плохой: частные побочне реакции
аква марис,"{'Нет ADR': 108, 'Диарея': 4, 'Гиперчувствительность': 1}",Плохой: не помогает
аквалор,"{'Нет ADR': 26, 'Нарушение со стороны почек': 1, 'Боль': 1, 'Почка Пейджа': 1}","Хороший, но есть ADR"
аквалор беби,{'Нет ADR': 41},Хороший
аквалор беби мягкий душ,{'Нет ADR': 5},Хороший
аквалор норм струя,{'Нет ADR': 5},Хороший
аквирин рино,"{'Ажитация': 1, 'Нет ADR': 7, 'Пронзительный крик': 1, 'Расстройство поведения': 1, 'Бессонница': 1}",Плохой: не помогает
акдс,"{'Нет ADR': 21, 'Ажитация': 1}",Плохой: частные побочне реакции
алора,{'Нет ADR': 11},Плохой: не помогает
альтевир,"{'Нет ADR': 22, 'Гиперчувствительность': 2}",Плохой: частные побочне реакции
амизон,"{'Нет ADR': 274, 'Дискомфорт в носу': 1, 'Заложенность носа': 1, 'Повышенная температура тела': 1}",Плохой: не помогает
амизон макс,"{'Нет ADR': 35, 'Тошнота': 2}","Хороший, но есть ADR"
амиксин,"{'Нет ADR': 189, 'Гипестезия': 1, 'Тиннитус': 1, 'Диарея': 1, 'Боль в боку': 4, 'Рвота': 4, 'Боль': 1, 'Сухость в носу': 1, 'Кожные трещины': 1}",Плохой: частные побочне реакции
анаферон,"{'Нет ADR': 339, 'Бессонница': 2, 'Галлюцинация': 1, 'Подергивание мышц': 1}",Плохой: не помогает
анаферон детский,{'Нет ADR': 215},Плохой: не помогает
анвимакс,{'Нет ADR': 94},Хороший
ангрикапс,{'Нет ADR': 16},Плохой: не помогает
антигриппин,{'Нет ADR': 152},Хороший
антигриппин максимум,{'Нет ADR': 32},Хороший
арбидол,{'Нет ADR': 28},Хороший
арбидол максимум,{'Нет ADR': 7},Плохой
аскорбиновая кислота,{'Нет ADR': 4},Плохой
афлубин,"{'Нет ADR': 331, 'Нарушение со стороны печени': 1, 'Сомнолентность': 1}","Хороший, но есть ADR"
афобазол,{'Нет ADR': 338},Плохой: не помогает
африн,"{'Нет ADR': 19, 'Мышечная слабость': 1}","Хороший, но есть ADR"
ацетилсалициловая кислота,{'Нет ADR': 4},Плохой
ацикловир,"{'Нет ADR': 261, 'Чувство угнетения': 1, 'Тошнота': 1, 'Рвота': 1, 'Снижение аппетита': 1}","Хороший, но есть ADR"
ацикловир белупо,{'Нет ADR': 42},Плохой: не помогает
ацикловир сандоз,{'Нет ADR': 19},Хороший
ацикловир форте,{'Нет ADR': 14},Хороший
бальзам золотая звезда,{'Нет ADR': 81},Хороший
барбовал,{'Нет ADR': 46},Плохой: частные побочне реакции
беллатаминал,{'Нет ADR': 24},Плохой: частные побочне реакции
биоарон с,{'Нет ADR': 12},Хороший
валериана,"{'Нет ADR': 163, 'Гиперчувствительность': 1}","Хороший, но есть ADR"
варилрикс,{'Нет ADR': 23},Плохой: частные побочне реакции
вечернее биокор драже,"{'Нет ADR': 66, 'Сыпь': 1, 'Периорбитальная отечность': 1, 'Сыпь век': 1}","Хороший, но есть ADR"
витамин с,{'Нет ADR': 20},Хороший
виферон,"{'Нет ADR': 495, 'Чувство жжения': 1, 'Сердцебиение': 3, 'Головокружение': 1, 'Расстройство зрения': 1, 'Частота сердечных сокращений выше нормы': 1, 'Чувство тревоги': 1, 'Кошмары': 3, 'Сомнолентность': 6}",Плохой: частные побочне реакции
галавит,{'Нет ADR': 14},Хороший
галидор,{'Нет ADR': 22},Хороший
генферон,"{'Нет ADR': 75, 'Переносимость препарата': 1, 'Настроение измененное': 1}",Плохой: не помогает
генферон лайт,"{'Нет ADR': 130, 'Переносимость препарата': 1, 'Сыпь': 1}",Плохой: частные побочне реакции
герперакс,{'Нет ADR': 29},Плохой: не помогает
гипорамин,"{'Нет ADR': 31, 'Нежелательная лекарственная реакция': 1}",Плохой: не помогает
глиатилин,{'Нет ADR': 11},Хороший
глицин,"{'Нет ADR': 220, 'Боль в печени': 1}","Хороший, но есть ADR"
глицин форте,{'Нет ADR': 14},Плохой: частные побочне реакции
глицисед,"{'Нет ADR': 56, 'Переносимость препарата': 1}","Хороший, но есть ADR"
граммидин с анестетиком нео,"{'Нет ADR': 181, 'Низкое качество сна': 1, 'Головная боль': 1, 'Тошнота': 1, 'Зависимость': 3}","Хороший, но есть ADR"
гриппол плюс,{'Нет ADR': 34},Плохой: частные побочне реакции
гриппостад,"{'Нет ADR': 36, 'Диарея': 3}","Хороший, но есть ADR"
гриппофлю экстра,{'Нет ADR': 13},Хороший
гриппферон,"{'Нет ADR': 363, 'Патология желудка': 1, 'Запор': 1, 'Холестаз': 1, 'Холецистит': 1, 'Гастрит': 1, 'Сомнолентность': 1, 'Тошнота': 2, 'Рвота': 1, 'Задержка менструации': 1, 'Гиперчувствительность': 2, 'Сыпь': 2}",Плохой: не помогает
гропринозин,"{'Нет ADR': 95, 'Диарея': 2, 'Зуд в носу': 1, 'Повышенная температура тела': 1, 'Гиперчувствительность': 1, 'Ринит': 4, 'Бронхит': 1, 'Синусит': 1, 'Ларингит': 1}",Плохой: не помогает
деприм,{'Нет ADR': 33},Плохой: не помогает
димедрол,{'Нет ADR': 24},Хороший
донормил,"{'Нет ADR': 61, 'Сомнолентность': 1, 'Гипакузия': 1, 'Головная боль': 2, 'Боль в глазу': 2, 'Снижение артериального давления': 1, 'Нарушение походки': 1, 'Боль': 1, 'Мигрень': 1, 'Ночная потливость': 1}",Плохой: частные побочне реакции
изопринозин,"{'Нет ADR': 148, 'Гиперчувствительность': 3, 'Зуд': 1, 'Периферический отек': 1, 'Артрит, аллергический': 1, 'Крапивница': 1, 'Артралгия': 1, 'Вывих сустава': 1}",Плохой: не помогает
изотонический раствор очищенной морской воды,{'Нет ADR': 1},Плохой
иммунал,"{'Нет ADR': 185, 'Патология желудочно-кишечного тракта': 1}","Хороший, но есть ADR"
иммунофлазид,"{'Нет ADR': 72, 'Диарея': 1, 'Рвота': 1}","Хороший, но есть ADR"
