,disease,drug
0,Стресс,"тенотен, персен, седавит"
1,Низкое качество сна|Бессонница,"тенотен, аквалор беби"
2,Нервозность,"тенотен, персен, корвалдин"
3,Эритема глотки,Нет хороших лекарств
4,Боль в ротоглотке (орофарингеальная),"антигриппин, флюколд, стрепсилс"
5,Боль в ротоглотке (орофарингеальная)|Орофарингеальный дискомфорт,Нет хороших лекарств
6,Депрессия,тенотен
7,Нарушение речи,Нет хороших лекарств
8,Нарушение засыпания,Нет хороших лекарств
9,Ажитация,Нет хороших лекарств
10,Повышенная температура тела,"лаферобион, антигриппин, флюколд"
11,Ринорея,"лаферобион, флюколд, гриппостад"
12,Кашель,"лаферобион, флюколд"
13,Интрасомническое расстройство|Низкое качество сна,Нет хороших лекарств
14,Назофарингит,"антигриппин, иммунофлазид, фармацитрон форте"
15,Чихание,Нет хороших лекарств
16,Головная боль,"антигриппин, колдрекс, арбидол"
17,Патология нервной системы,Нет хороших лекарств
18,Головокружение,ноотропил
19,Профилактика,"арбидол, иммунофлазид, аквалор беби"
20,Боль,"флюколд, колдрекс максгрипп"
21,Заложенность носа,"антигриппин, колдрекс, ринза"
22,Першение в горле,"терафлю, максиколд рино"
23,Нервозность|Раздражительность,Нет хороших лекарств
24,Астения,"флюколд, ринза"
25,Нарушение со стороны иммунной системы|Ослабленная иммунная реактивность,антигриппин максимум
26,Нарушение со стороны иммунной системы,лаферобион
27,Отек,Нет хороших лекарств
28,Психомоторная гиперактивность,Нет хороших лекарств
29,Недомогание,Нет хороших лекарств
30,Гиперемия глаз,Нет хороших лекарств
31,Одышка,Нет хороших лекарств
32,Заложенность носа|Одышка,Нет хороших лекарств
33,Заложенность носа|Астма|Одышка,Нет хороших лекарств
34,Пирексия,"лаферобион, антигриппин, арбидол"
35,Озноб,антигриппин
36,Психологическое расстройство,тенотен
37,Напряженное состояние,Нет хороших лекарств
38,Расстройство сна,Нет хороших лекарств
39,Гипоксия,кальция гопантенат
40,Пузырь на губе,Нет хороших лекарств
41,Зуд в губе,Нет хороших лекарств
42,Пузырь,Нет хороших лекарств
43,"Дерматит, вызванный вирусом герпеса|Сыпь",Нет хороших лекарств
44,Повышение артериального давления,Нет хороших лекарств
45,Раздражительность,"тенотен, глицисед, седасен форте"
46,Отечность,максиколд рино
47,Гепатит при инфекционном мононуклеозе,Нет хороших лекарств
48,Ощущение жара,"лаферобион, колдрекс"
49,Профилактика вирусных инфекций|Профилактика,Нет хороших лекарств
50,Бессонница,глицисед
51,Паническая реакция,Нет хороших лекарств
52,Сыпь,Нет хороших лекарств
53,Патология желудка|Абдоминальный дискомфорт,Нет хороших лекарств
54,Плач,Нет хороших лекарств
55,Поллакиурия,Нет хороших лекарств
56,Дизурия,Нет хороших лекарств
57,Нервозность|Низкое качество сна,Нет хороших лекарств
58,Низкое качество сна,Нет хороших лекарств
59,Тремор|Ощущение тревоги,Нет хороших лекарств
60,Миалгия,терафлю
61,Дисфункция навыков мелкой моторики|Задержка развития мелкой моторики,Нет хороших лекарств
62,Нарушение координации,Нет хороших лекарств
63,Патология десен,Нет хороших лекарств
64,Неинфекционный гингивит,Нет хороших лекарств
65,,эхинацея
66,Ринит|Ринорея,флюколд
67,Неусидчивость,энцефабол
68,Чувство тревоги,Нет хороших лекарств
69,Ангулярный хейлит,Нет хороших лекарств
