,disease,drug
0,Стресс,"персен, тривалумен"
1,Бессонница,"глицисед, азалептин"
2,Нервозность,"глицисед, персен, тривалумен"
3,Эритема глотки,тонзилгон н
4,Боль в ротоглотке (орофарингеальная),"флюколд, тонзилгон н, эвкабал"
5,Повышенная температура тела,"лаферобион, флюколд, орвирем"
6,Нарушение речи,Нет хороших лекарств
7,Нарушение засыпания,Нет хороших лекарств
8,Ажитация,Нет хороших лекарств
9,Психологическое расстройство,глицисед
10,Ринорея,"интерферон, лаферобион, орвирем"
11,Кашель,"лаферобион, орвирем, флюколд"
12,Профилактика,"интерферон, иммунофлазид, аквалор беби"
13,Низкое качество сна,феназепам
14,Почечная недостаточность,Нет хороших лекарств
15,Почечная боль,антигриппин максимум
16,Чихание,Нет хороших лекарств
17,Нарушение мозгового кровообращения,Нет хороших лекарств
18,Назофарингит,иммунофлазид
19,Боль,"флюколд, колдрекс максгрипп"
20,Головная боль,"колдрекс, персен, колдрекс максгрипп"
21,Сухость в носу,Нет хороших лекарств
22,Заложенность носа,"колдрекс, ринза, антигриппин максимум"
23,Першение в горле,"терафлю, максиколд рино"
24,Раздражительность,"глицисед, седасен форте"
25,Астения,"флюколд, ринза, селанк"
26,Нарушение со стороны иммунной системы,"интерферон, лаферобион, антигриппин максимум"
27,Психомоторная гиперактивность,Нет хороших лекарств
28,Недомогание,колдрекс
29,Папиллома,лаферобион
30,Сыпь,"лаферобион, димедрол"
31,CONCEPT_LESS,Нет хороших лекарств
32,Пирексия,"ринза, колдрекс максгрипп"
33,Озноб,Нет хороших лекарств
34,Напряженное состояние,Нет хороших лекарств
35,Расстройство сна,Нет хороших лекарств
36,Недостаточность марганца,кальция гопантенат
37,Зуд в губе,Нет хороших лекарств
38,Пузырь,Нет хороших лекарств
39,Струп на губе,Нет хороших лекарств
40,Повышение артериального давления,Нет хороших лекарств
41,Ощущение жара,"лаферобион, колдрекс"
42,Паническая реакция,глицисед
43,Отечность,"максиколд рино, димедрол"
44,Артралгия,Нет хороших лекарств
45,Нейропсихические симптомы,Нет хороших лекарств
46,Поллакиурия,Нет хороших лекарств
47,Рана,Нет хороших лекарств
48,Депрессия перинатального периода,Нет хороших лекарств
49,Тремор,Нет хороших лекарств
50,Миалгия,терафлю
51,Дисфункция навыков мелкой моторики,Нет хороших лекарств
52,Неуклюжесть,Нет хороших лекарств
53,Расстройство обучения,Нет хороших лекарств
54,Повышенное внутричерепное давление,Нет хороших лекарств
55,Кровоточивость десен,эхинацея
56,Боль в животе,Нет хороших лекарств
57,Черепно-мозговая травма,энцефабол
58,Неусидчивость,Нет хороших лекарств
59,Травма нерва,Нет хороших лекарств
60,Папиллома кожи,Нет хороших лекарств
61,Трещина заднего прохода,Нет хороших лекарств
62,Отек,отипакс
63,Продуктивный кашель,"эвкабал, эвкабал бальзам с"
64,Интрасомническое расстройство,Нет хороших лекарств
65,Усталость,селанк
66,Кошмары,Нет хороших лекарств
67,Сомнолентность,колдрекс
68,Зависимость от психоактивных веществ/лекарственных препаратов,Нет хороших лекарств
69,Одышка,Нет хороших лекарств
70,Стенокардия,Нет хороших лекарств
71,Рвота,Нет хороших лекарств
72,Боль в костях,Нет хороших лекарств
73,Гиперсекреторное слезоотделение,"флюколд, максиколд рино"
74,Чувство тревоги,Нет хороших лекарств
75,Меланома мочеполовой системы,Нет хороших лекарств
76,Гнев,Нет хороших лекарств
77,Храп,Нет хороших лекарств
78,Менструальное нарушение,Нет хороших лекарств
79,Изъязвление в полости рта,Нет хороших лекарств
80,Оральный герпес,Нет хороших лекарств
81,Патология нервной системы,Нет хороших лекарств
82,Нарушение памяти,Нет хороших лекарств
83,Раздражение глаз,Нет хороших лекарств
84,Сердцебиение,Нет хороших лекарств
85,"Сыпь, зудящая",Нет хороших лекарств
86,Зуд,Нет хороших лекарств
87,Бактериальная инфекция дыхательных путей,Нет хороших лекарств
88,Метастаз,Нет хороших лекарств
