standart_names,ADR,Raiting
0,"{'Нет ADR': 257, 'Стресс': 3, 'Бессонница': 1, 'Нервозность': 1, 'Эритема глотки': 2, 'Боль в ротоглотке (орофарингеальная)': 3, 'Повышенная температура тела': 4, 'Нарушение речи': 1, 'Нарушение засыпания': 1, 'Ажитация': 1, 'Психологическое расстройство': 1, 'Ринорея': 3, 'Кашель': 1, 'Профилактика': 1, 'Низкое качество сна': 1, 'Почечная недостаточность': 1, 'Почечная боль': 1, 'Чихание': 3}","Хороший, но есть ADR"
cold balm,"{'Нет ADR': 26, 'Нарушение мозгового кровообращения': 1, 'Стресс': 1}",Плохой: частные побочные реакции
evergetikon,{'Нет ADR': 13},Плохой
агри,{'Нет ADR': 19},Плохой: не помогает
азалептин,"{'Профилактика': 1, 'Нет ADR': 18}","Хороший, но есть ADR"
аква марис,"{'Стресс': 1, 'Нет ADR': 105, 'Нервозность': 1, 'Профилактика': 2, 'Назофарингит': 1, 'Повышенная температура тела': 1, 'Боль': 1, 'Головная боль': 1}",Плохой: частные побочные реакции
аквалор,{'Нет ADR': 14},Хороший
аквалор беби,"{'Нет ADR': 35, 'Повышенная температура тела': 1}","Хороший, но есть ADR"
аквирин рино,"{'Нет ADR': 15, 'Ринорея': 1, 'Сухость в носу': 1}",Плохой: не помогает
акдс,"{'Нет ADR': 32, 'Профилактика': 3, 'Заложенность носа': 1, 'Першение в горле': 1, 'Повышенная температура тела': 1}",Плохой: частные побочные реакции
аллокин-альфа,{'Нет ADR': 1},Плохой
алора,{'Нет ADR': 12},Плохой: не помогает
альтевир,"{'Нет ADR': 20, 'Профилактика': 3}","Хороший, но есть ADR"
амизон,"{'Нет ADR': 246, 'Нервозность': 2, 'Раздражительность': 1, 'Головная боль': 1, 'Повышенная температура тела': 2, 'Ринорея': 5, 'Астения': 1, 'Нарушение со стороны иммунной системы': 1, 'Профилактика': 6, 'Стресс': 2, 'Психомоторная гиперактивность': 1}",Плохой: не помогает
амизон макс,"{'Нет ADR': 37, 'Ринорея': 3, 'Недомогание': 1}",Плохой: частные побочные реакции
амиксин,"{'Нет ADR': 159, 'Повышенная температура тела': 1, 'Профилактика': 2, 'Боль в ротоглотке (орофарингеальная)': 3, 'Папиллома': 3, 'Сыпь': 1, 'Ринорея': 1}",Плохой
анаферон,"{'Нет ADR': 278, 'Ринорея': 4, 'CONCEPT_LESS': 1, 'Повышенная температура тела': 7, 'Кашель': 5, 'Профилактика': 6, 'Чихание': 1, 'Пирексия': 3, 'Нарушение со стороны иммунной системы': 2, 'Назофарингит': 2, 'Боль в ротоглотке (орофарингеальная)': 1, 'Боль': 2, 'Озноб': 1, 'Головная боль': 1}",Плохой: частные побочные реакции
анаферон детский,"{'Нет ADR': 227, 'Психологическое расстройство': 2, 'Напряженное состояние': 1, 'Ажитация': 2, 'Расстройство сна': 1, 'Чихание': 1, 'Кашель': 1, 'Боль в ротоглотке (орофарингеальная)': 1, 'Заложенность носа': 3, 'Профилактика': 11, 'Ринорея': 2, 'Недостаточность марганца': 1, 'Нарушение со стороны иммунной системы': 1, 'Зуд в губе': 1, 'Пузырь': 1, 'Струп на губе': 1, 'Повышение артериального давления': 1, 'Раздражительность': 2, 'Стресс': 1}",Плохой: не помогает
анвимакс,"{'Нет ADR': 91, 'Профилактика': 1}",Плохой: частные побочные реакции
ангрикапс,{'Нет ADR': 23},Плохой: не помогает
антигриппин,"{'Нет ADR': 104, 'Чихание': 1, 'Ринорея': 2, 'Головная боль': 1, 'Ощущение жара': 1, 'Повышенная температура тела': 1, 'Заложенность носа': 1, 'Недомогание': 1, 'Стресс': 1, 'Психологическое расстройство': 1}",Плохой: частные побочные реакции
антигриппин максимум,"{'Нет ADR': 32, 'Ринорея': 1, 'Кашель': 1, 'Повышенная температура тела': 2, 'Профилактика': 1}","Хороший, но есть ADR"
арбидол,"{'Нет ADR': 69, 'Повышенная температура тела': 2, 'Бессонница': 1}",Плохой: частные побочные реакции
арбидол максимум,"{'Нет ADR': 8, 'Бессонница': 1}",Плохой
аскорбиновая кислота,"{'Нет ADR': 6, 'Расстройство сна': 1}",Плохой: не помогает
аспирин,{'Нет ADR': 3},Плохой: частные побочные реакции
афлубин,"{'Нет ADR': 370, 'Ринорея': 3, 'Назофарингит': 1, 'Стресс': 4, 'Заложенность носа': 1, 'Паническая реакция': 3, 'Сыпь': 3, 'Отечность': 1, 'Профилактика': 6, 'Артралгия': 1, 'Повышенная температура тела': 3, 'Психологическое расстройство': 1, 'Нейропсихические симптомы': 1, 'Поллакиурия': 1, 'Рана': 1}",Плохой: частные побочные реакции
афобазол,"{'Ринорея': 5, 'Нет ADR': 283, 'Повышенная температура тела': 4, 'Нервозность': 1, 'Напряженное состояние': 1, 'Бессонница': 3, 'Раздражительность': 2, 'Депрессия перинатального периода': 1, 'Заложенность носа': 3, 'Профилактика': 14, 'Тремор': 1, 'Боль в ротоглотке (орофарингеальная)': 1}",Плохой: частные побочные реакции
африн,"{'Нет ADR': 5, 'Повышенная температура тела': 3}",Плохой: частные побочные реакции
ацетилсалициловая кислота,"{'Миалгия': 1, 'Озноб': 1, 'Нет ADR': 5, 'Головная боль': 1}",Плохой: не помогает
ацикловир,"{'Нет ADR': 256, 'Повышенная температура тела': 2, 'Профилактика': 1, 'Ринорея': 2, 'Стресс': 1, 'Недомогание': 1, 'Дисфункция навыков мелкой моторики': 1, 'Неуклюжесть': 1, 'Расстройство обучения': 1, 'Повышенное внутричерепное давление': 2, 'Кровоточивость десен': 2}",Плохой: частные побочные реакции
ацикловир белупо,"{'Нет ADR': 43, 'Головная боль': 1, 'Боль в животе': 1}",Плохой
ацикловир сандоз,{'Нет ADR': 21},Хороший
ацикловир форте,{'Нет ADR': 15},Плохой: частные побочные реакции
бальзам золотая звезда,"{'Нет ADR': 55, 'Заложенность носа': 2, 'Профилактика': 5, 'Ринорея': 2, 'Кашель': 1}",Плохой: частные побочные реакции
барбовал,"{'Нет ADR': 36, 'Черепно-мозговая травма': 1, 'Неусидчивость': 1}",Плохой: частные побочные реакции
белара,{'Нет ADR': 6},Плохой
беллатаминал,"{'Нет ADR': 13, 'Ринорея': 1, 'Заложенность носа': 2, 'Боль в ротоглотке (орофарингеальная)': 1, 'Повышенная температура тела': 1}",Плохой: не помогает
биоарон с,"{'Нет ADR': 10, 'Профилактика': 1}","Хороший, но есть ADR"
биопарокс,{'Нет ADR': 1},Плохой
биотредин,"{'Нет ADR': 11, 'Повышенная температура тела': 1}","Хороший, но есть ADR"
боярышник,{'Нет ADR': 2},Плохой
бронхомакс,{'Нет ADR': 4},Плохой: не помогает
валериана,"{'Нет ADR': 174, 'Травма нерва': 2, 'Папиллома кожи': 1, 'Трещина заднего прохода': 1, 'Отек': 1, 'Повышенная температура тела': 3, 'Заложенность носа': 1, 'Кашель': 5, 'Боль в ротоглотке (орофарингеальная)': 3, 'Ринорея': 2, 'Озноб': 1, 'Продуктивный кашель': 2}",Плохой: частные побочные реакции
варилрикс,{'Нет ADR': 20},Плохой: частные побочные реакции
вечернее биокор драже,"{'Нет ADR': 53, 'Бессонница': 2, 'Расстройство сна': 1, 'Интрасомническое расстройство': 1, 'Усталость': 1, 'Астения': 1, 'Низкое качество сна': 1, 'Повышенная температура тела': 1, 'Профилактика': 2}",Плохой: частные побочные реакции
витамин с,{'Нет ADR': 3},Плохой
виферон,"{'Нет ADR': 429, 'Повышенная температура тела': 7, 'Кашель': 2, 'Ринорея': 4, 'Нарушение засыпания': 1, 'Кошмары': 2, 'Сомнолентность': 1, 'Зависимость от психоактивных веществ/лекарственных препаратов': 1, 'Нервозность': 2, 'Раздражительность': 4, 'Заложенность носа': 5, 'Одышка': 1, 'Повышение артериального давления': 1, 'Стенокардия': 1, 'Рвота': 1, 'Недомогание': 1, 'Боль в костях': 1, 'Боль': 3, 'Астения': 1, 'Напряженное состояние': 2, 'Боль в ротоглотке (орофарингеальная)': 3, 'Гиперсекреторное слезоотделение': 1, 'Профилактика': 8, 'Чувство тревоги': 1, 'Меланома мочеполовой системы': 2, 'Нарушение со стороны иммунной системы': 1, 'Назофарингит': 1, 'Почечная боль': 1, 'Гнев': 1, 'Храп': 1, 'Расстройство сна': 1, 'Менструальное нарушение': 1, 'Пирексия': 1}",Плохой: частные побочные реакции
галавит,{'Нет ADR': 15},Плохой: частные побочные реакции
галидор,"{'Нет ADR': 20, 'Профилактика': 2, 'Изъязвление в полости рта': 1, 'Сыпь': 1, 'Оральный герпес': 1}",Плохой: частные побочные реакции
галоперидол,{'Нет ADR': 2},Плохой
геделикс,{'Нет ADR': 1},Плохой
гелариум гиперикум,"{'Нет ADR': 9, 'Чихание': 1}",Плохой: не помогает
генферон,"{'Нет ADR': 49, 'Повышенная температура тела': 4, 'Профилактика': 1, 'Боль': 1}",Плохой: не помогает
генферон лайт,"{'Нет ADR': 107, 'Ощущение жара': 2, 'Повышенная температура тела': 3, 'Расстройство сна': 2, 'Бессонница': 3}",Плохой: частные побочные реакции
герперакс,"{'Нет ADR': 30, 'CONCEPT_LESS': 1, 'Профилактика': 1}",Плохой: не помогает
гипорамин,{'Нет ADR': 23},Плохой: не помогает
глиатилин,"{'Нет ADR': 39, 'Пирексия': 1, 'Оральный герпес': 1}",Плохой: частные побочные реакции
глицин,"{'Нет ADR': 255, 'Психологическое расстройство': 1, 'Нервозность': 1, 'Бессонница': 1, 'Патология нервной системы': 1, 'Боль в ротоглотке (орофарингеальная)': 2, 'Нарушение памяти': 1, 'Заложенность носа': 2, 'Ринорея': 3, 'Нарушение со стороны иммунной системы': 1, 'Повышенная температура тела': 1, 'Головная боль': 1, 'Раздражение глаз': 1, 'Сомнолентность': 1}",Плохой: частные побочные реакции
глицин форте,"{'Нет ADR': 17, 'Стресс': 1, 'Раздражительность': 1, 'Чувство тревоги': 1}",Плохой: частные побочные реакции
глицисед,"{'Нет ADR': 56, 'Пузырь': 1, 'Повышенная температура тела': 1, 'Ринорея': 1, 'Кашель': 1, 'Профилактика': 2}","Хороший, но есть ADR"
граммидин с анестетиком нео,"{'Нет ADR': 119, 'Пирексия': 2, 'Головная боль': 2, 'Сердцебиение': 2, 'Ощущение жара': 1, 'Заложенность носа': 1, 'Ринорея': 2, 'Эритема глотки': 1, 'Повышенная температура тела': 5}",Плохой: частные побочные реакции
гриппол плюс,"{'Нет ADR': 43, 'Нарушение со стороны иммунной системы': 1, 'Стресс': 2, 'Сыпь, зудящая': 1, 'Зуд в губе': 1, 'Зуд': 1, 'Сыпь': 1, 'Пузырь': 1, 'Повышенная температура тела': 2, 'Головная боль': 1, 'Ринорея': 1, 'Кашель': 1, 'Профилактика': 1, 'Назофарингит': 1}",Плохой: частные побочные реакции
гриппостад,"{'Нет ADR': 36, 'Бессонница': 1, 'Ринорея': 1}",Плохой: частные побочные реакции
гриппофлю экстра,{'Нет ADR': 13},Хороший
гриппферон,"{'Нет ADR': 302, 'Бактериальная инфекция дыхательных путей': 1, 'CONCEPT_LESS': 3, 'Ринорея': 1, 'Профилактика': 7, 'Боль': 1, 'Метастаз': 1, 'Папиллома кожи': 1, 'Артралгия': 1, 'Дискомфорт в ротовой полости': 1, 'Оральный герпес': 1}",Плохой: частные побочные реакции
гропринозин,"{'Нет ADR': 89, 'Увеличение количества мокроты': 1, 'Кашель': 2, 'Ринорея': 1, 'Бессонница': 2, 'Низкое качество сна': 2, 'Перепады настроения': 1, 'Головная боль': 1, 'Профилактика': 2, 'Напряженное состояние': 1, 'Раздражительность': 1}",Плохой
деприм,"{'Нет ADR': 15, 'Головная боль': 1, 'Бессонница': 1}",Плохой
деринат,"{'Нет ADR': 14, 'Бессонница': 2, 'Раздражительность': 1, 'Нервозность': 1, 'Стресс': 3}","Хороший, но есть ADR"
димедрол,"{'Нет ADR': 26, 'Бессонница': 1}","Хороший, но есть ADR"
доктор мом,"{'Нет ADR': 11, 'Повышенная температура тела': 1, 'Ринорея': 1}",Плохой: частные побочные реакции
донормил,"{'Нет ADR': 71, 'Ринорея': 2, 'Заложенность носа': 2, 'Кашель': 1, 'Пирексия': 1, 'Одышка': 1, 'Профилактика': 1}",Плохой: частные побочные реакции
изопринозин,"{'Нет ADR': 140, 'Астения': 1, 'Повышенная температура тела': 1, 'Артралгия': 1, 'Ринорея': 2, 'Першение в горле': 1, 'Пирексия': 1, 'Недомогание': 1}",Плохой: не помогает
изофра,{'Нет ADR': 9},Хороший
иммунал,"{'Нет ADR': 152, 'Бессонница': 1, 'Профилактика': 5, 'Сыпь': 2, 'Зуд': 1, 'Головная боль': 1, 'Отечность': 1, 'Першение в горле': 1, 'Гиперсекреторное слезоотделение': 1, 'Повышенная температура тела': 1, 'Нарушение психики': 1, 'Нарушение памяти': 1, 'Нарушение внимания': 1, 'Ажитация': 1}",Плохой: частные побочные реакции
иммунофлазид,"{'Нет ADR': 53, 'Раздражительность': 3, 'Профилактика': 3, 'Нервозность': 1, 'Ринорея': 1, 'Воспаление': 1}","Хороший, но есть ADR"
имудон,{'Нет ADR': 12},Плохой: частные побочные реакции
ингавирин,"{'Нет ADR': 293, 'Угри': 2, 'Эритема': 2, 'Бессонница': 4, 'Отечность глаз': 1, 'Астения': 1, 'Нарушение мозгового кровообращения': 3, 'CONCEPT_LESS': 5, 'Операция на глазах': 1, 'Боль после родов': 1, 'Нарушение со стороны иммунной системы': 1, 'Профилактика': 3, 'Ринорея': 1, 'Кашель': 4, 'Заложенность носа': 2, 'Травма конечности': 1, 'Нарушение памяти': 1, 'Нервозность': 1, 'Артрит': 1, 'Гипестезия': 1, 'Повышенная температура тела': 1, 'Головокружение': 3, 'Чихание': 1}",Плохой: не помогает
индинол форте,{'Нет ADR': 7},Плохой
индинол форто,"{'Профилактика': 2, 'Нет ADR': 6}",Плохой
интерферон,"{'Нет ADR': 167, 'Профилактика': 4, 'Боль': 2, 'Гиперсекреторное слезоотделение': 1, 'Ринорея': 2, 'Боль в ротоглотке (орофарингеальная)': 3, 'Кашель': 1, 'Повышенная температура тела': 4, 'Головная боль': 2, 'Стресс': 1, 'Озноб': 1, 'Пирексия': 1, 'Раздражение горла': 1}","Хороший, но есть ADR"
интерферон альфа,"{'Нет ADR': 23, 'Ринорея': 1, 'Профилактика': 2, 'Нервозность': 1, 'Стресс': 2}",Плохой: частные побочные реакции
интерферон альфа-2b,"{'Нет ADR': 21, 'Подергивание мышц': 1}","Хороший, но есть ADR"
